Group Ordering,Lead Author,Year Published,Food Item,GHG (g CO2 equiv/g protein),LU (m^2/g protein),EU (kj/g protein),Acidification Potential (g SO2 equiv/g protein),Eutrophication Potential (g PO4 equiv/g protein),GHG (g CO2 equiv/serving),LU (m^2/serving),EU (kj/serving),Acidification Potential (g SO2 equiv/serving),Eutrophication Potential (g PO4 equiv/serving),GHG (g CO2 equiv/gram),LU (m^2/kg),EU (kj/gram),Acidification Potential (g SO2 equiv/gram),Eutrophication Potential (g PO4 equiv/gram)
Dairy,Arsenault,2008,Milk,3.09E+01,8.22E-02,1.55E+02,3.49E-01,1.05E-01,2.39E+02,6.35E-01,1.19E+03,2.70E+00,8.11E-01,9.74E-01,2.59E-03,4.87E+00,1.10E-02,3.31E-03
Dairy,Arsenault,2008,Milk,3.17E+01,8.98E-02,1.58E+02,3.05E-01,1.01E-01,2.45E+02,6.93E-01,1.22E+03,2.35E+00,7.77E-01,9.98E-01,2.83E-03,4.99E+00,9.60E-03,3.17E-03
Dairy,Basset-Mens,2009,Milk,2.05E+01,2.35E-02,1.75E+01,1.22E-01,5.05E-02,1.58E+02,1.81E-01,1.35E+02,9.43E-01,3.90E-01,6.46E-01,7.40E-04,5.50E-01,3.85E-03,1.59E-03
Dairy,Basset-Mens,2009,Milk,2.39E+01,2.29E-02,4.92E+01,1.83E-01,7.56E-02,1.85E+02,1.76E-01,3.80E+02,1.42E+00,5.83E-01,7.54E-01,7.20E-04,1.55E+00,5.78E-03,2.38E-03
Dairy,Basset-Mens,2009,Milk,2.42E+01,2.54E-02,3.59E+01,2.14E-01,7.94E-02,1.87E+02,1.96E-01,2.77E+02,1.65E+00,6.13E-01,7.62E-01,8.00E-04,1.13E+00,6.74E-03,2.50E-03
Dairy,Casey,2005,Milk,4.76E+01,,,,,3.68E+02,,,,,1.50E+00,,,,
Dairy,Cederberg,2000,Milk,3.02E+01,1.10E-01,7.97E+01,5.02E-01,,2.33E+02,8.49E-01,6.15E+02,3.87E+00,,9.50E-01,3.46E-03,2.51E+00,1.58E-02,
Dairy,Cederberg,2000,Milk,3.49E+01,6.11E-02,1.13E+02,5.71E-01,,2.70E+02,4.72E-01,8.70E+02,4.41E+00,,1.10E+00,1.93E-03,3.55E+00,1.80E-02,
Dairy,Cederberg,2004,Milk,2.85E+01,4.89E-02,8.22E+01,,,2.20E+02,3.77E-01,6.35E+02,,,8.96E-01,1.54E-03,2.59E+00,,
Dairy,Cederberg,2004,Milk,2.98E+01,9.30E-02,6.67E+01,,,2.30E+02,7.18E-01,5.15E+02,,,9.38E-01,2.93E-03,2.10E+00,,
