dish_id,ingredient_id,weight_grams,from_producer,label,from_producer_label,ingredient_label
16,38,212,outside_europe,Composition object (60),Produkt spoza Europy,Banan
7,95,60,local,Composition object (19),Produkt lokalny (ze Słupska lub okolic w granicach 100 km),Mięso z indyka
7,118,30,outside_europe,Composition object (20),Produkt spoza Europy,Ryż biały
7,106,40,regional,Composition object (21),Produkt regionalny (z województwa pomorskiego),Papryka czerwona
8,93,50,local,Composition object (23),Produkt lokalny (ze Słupska lub okolic w granicach 100 km),Mięso wieprzowe
8,77,40,national,Composition object (24),Produkt krajowy,Kasza jęczmienna
8,74,40,regional,Composition object (25),Produkt regionalny (z województwa pomorskiego),Kapusta biała
3,125,70,national,Composition object (2),Produkt krajowy,Ser twarogowy
3,89,50,regional,Composition object (3),Produkt regionalny (z województwa pomorskiego),Marchew
3,113,15,inside_europe,Composition object (4),Produkt z Europy,Pomarańcza
14,111,15,national,Composition object (49),Produkt krajowy,Płatki kukurydziane
14,45,50,local,Composition object (50),Produkt lokalny (ze Słupska lub okolic w granicach 100 km),Chleb wieloziarnisty
14,83,20,local,Composition object (51),Produkt lokalny (ze Słupska lub okolic w granicach 100 km),Łosoś
14,102,15,regional,Composition object (53),Produkt regionalny (z województwa pomorskiego),Ogórek
14,121,10,regional,Composition object (54),Produkt regionalny (z województwa pomorskiego),Sałata
14,99,200,national,Composition object (48),Produkt krajowy,Mleko spożywcze
14,114,20,regional,Composition object (52),Produkt regionalny (z województwa pomorskiego),Pomidor
9,135,25,regional,Composition object (27),Produkt regionalny (z województwa pomorskiego),Szynka z indyka
9,114,25,regional,Composition object (28),Produkt regionalny (z województwa pomorskiego),Pomidor
9,102,15,regional,Composition object (29),Produkt regionalny (z województwa pomorskiego),Ogórek
9,121,10,regional,Composition object (30),Produkt regionalny (z województwa pomorskiego),Sałata
9,45,35,local,Composition object (26),Produkt lokalny (ze Słupska lub okolic w granicach 100 km),Chleb wieloziarnisty
10,45,35,local,Composition object (31),Produkt lokalny (ze Słupska lub okolic w granicach 100 km),Chleb wieloziarnisty
10,95,30,local,Composition object (32),Produkt lokalny (ze Słupska lub okolic w granicach 100 km),Mięso z indyka
10,102,10,regional,Composition object (34),Produkt regionalny (z województwa pomorskiego),Ogórek
10,70,125,national,Composition object (35),Produkt krajowy,Jogurt truskawkowy
10,114,20,regional,Composition object (33),Produkt regionalny (z województwa pomorskiego),Pomidor
12,112,100,national,Composition object (38),Produkt krajowy,Płatki owsiane
12,64,45,local,Composition object (39),Produkt lokalny (ze Słupska lub okolic w granicach 100 km),Jaja kurze
12,45,56,local,Composition object (40),Produkt lokalny (ze Słupska lub okolic w granicach 100 km),Chleb wieloziarnisty
12,114,20,regional,Composition object (42),Produkt regionalny (z województwa pomorskiego),Pomidor
12,102,15,regional,Composition object (43),Produkt regionalny (z województwa pomorskiego),Ogórek
12,99,200,national,Composition object (37),Produkt krajowy,Mleko spożywcze
12,146,7,national,Composition object (41),Produkt krajowy,Masło
13,45,50,local,Composition object (44),Produkt lokalny (ze Słupska lub okolic w granicach 100 km),Chleb wieloziarnisty
13,36,100,inside_europe,Composition object (45),Produkt z Europy,Arbuz
13,89,50,regional,Composition object (46),Produkt regionalny (z województwa pomorskiego),Marchew
13,142,50,inside_europe,Composition object (47),Produkt z Europy,Winogrona
25,63,15,yes,Composition object (89),yes,Jabłko
5,84,40,national,Composition object (9),Produkt krajowy,Makaron
5,93,15,local,Composition object (10),Produkt lokalny (ze Słupska lub okolic w granicach 100 km),Mięso wieprzowe
5,126,10,national,Composition object (11),Produkt krajowy,Ser żółty
5,114,500,regional,Composition object (13),Produkt regionalny (z województwa pomorskiego),Pomidor
5,44,3,regional,Composition object (12),Produkt regionalny (z województwa pomorskiego),Cebula
17,148,25,national,Composition object (61),Produkt krajowy,Groch łuskany
17,150,20,local,Composition object (62),Produkt lokalny (ze Słupska lub okolic w granicach 100 km),Chleb zwykły (pszenno-żytni)
