id,name,name_en,name_wf
36,Arbuz,Watermelon,Watermelons
37,Awokado,Avocado,"Avocados, fresh or dried"
38,Banan,Banana,Bananas
39,Brokuły,Broccoli,"Cauliflowers and headed broccoli, fresh or chilled"
40,Brukselka,Brussels sprouts,"Brussels sprouts, fresh or chilled"
41,Brzoskwinia,Peach,Peaches and nectarines
42,Bułka grahamka,Graham roll,
43,Burak,Beet,"Raw sugar, beet"
44,Cebula,Onion,"Onions and shallots, fresh or chilled"
45,Chleb wieloziarnisty,Multigrain bread,Wheat bread
46,Chrzan,Horseradish,"Salad beetroot,salsif,celeriac,radish&sim edibl roots,fresh/chilld nes"
47,Cukier,Sugar,"Sugar cane, fresh or dried, whether or not ground"
48,Cukinia,Zucchini,"Pumpkins, squash and gourds"
49,Cytryna,Lemon,"Lemons and limes, fresh or dried"
50,Czarne jagody,Blueberries,Blueberries
51,Czereśnie,Cherries,Sour cherries
52,Czosnek,Garlic,"Garlic, fresh or chilled"
53,Dorsz,Cod,
54,Dynia,Pumpkin,"Pumpkins, squash and gourds"
55,Dżem z owoców,Fruit jam,
56,Fasola biała,White bean,"Beans, shelled or unshelled, fresh or chilled"
57,Fasola czerwona,Red Beans,"Beans, shelled or unshelled, fresh or chilled"
58,Fasola szparagowa,Green bean,"Beans, shelled or unshelled, fresh or chilled"
59,Flądra,Flounder,
60,Grejpfrut,Grapefruit,"Grapefruit, fresh or dried"
61,Groszek zielony,Green peas,"Peas dried, shelled, whether or not skinned or split"
62,Gruszka,Pears,"Pears and quinces, fresh"
63,Jabłko,Apple,"Apples, fresh"
64,Jaja kurze,Chicken eggs,"Eggs, bird, in shell, fresh, preserved or cooked"
65,Jarmuż,Kale,"Cabbages,kohlrabi,kale and sim edible brassicas nes,fresh or chilled"
66,Jogurt bananowy,Banana yogurt,"Yogurt concentratd o not,sweetend o not,flavourd o contg fruit o cocoa"
