id,name,name_en
36,Arbuz,Watermelon
37,Awokado,Avocado
38,Banan,Banana
39,Brokuły,Broccoli
40,Brukselka,Brussels sprouts
41,Brzoskwinia,Peach
42,Bułka grahamka,Graham roll
43,Burak,Beet
44,Cebula,Onion
45,Chleb wieloziarnisty,Multigrain bread
46,Chrzan,Horseradish
47,Cukier,Sugar
48,Cukinia,Zucchini
49,Cytryna,Lemon
50,Czarne jagody,Blueberries
51,Czereśnie,Cherries
52,Czosnek,Garlic
53,Dorsz,Cod
54,Dynia,Pumpkin
55,Dżem z owoców,Fruit jam
56,Fasola biała,White bean
57,Fasola czerwona,Red Beans
58,Fasola szparagowa,Green bean
59,Flądra,Flounder
60,Grejpfrut,Grapefruit
61,Groszek zielony,Green peas
62,Gruszka,Pears
63,Jabłko,Apple
64,Jaja kurze,Chicken eggs
65,Jarmuż,Kale
66,Jogurt bananowy,Banana yogurt
67,Jogurt jagodowy,Blueberry yogurt
68,Jogurt morelowy,Apricot yogurt
69,Jogurt naturalny,Natural yogurt
70,Jogurt truskawkowy,Strawberry yogurt
71,Jogurt wiśniowy,Cherry yogurt
72,Kalafior,Cauliflower
73,Kalarepa,Kohlrabi
74,Kapusta biała,White cabbage
75,Kapusta czerwona,Red cabbage
76,Kasza jaglana,Barley groats
77,Kasza jęczmienna,Barley groats
78,Kefir,Kefir
79,Kiwi,Kiwi
80,Koncentrat pomidorowy,Tomato concentrate
81,Koper ogrodowy,Dill pickle
82,Kukurydza,Corn
83,Łosoś,Salmon
84,Makaron,Pasta
85,Makrela,Mackerel
86,Maliny,Raspberries
87,Mandarynki,Mandarins
88,Mango,Mangoes
89,Marchew,Carrots
90,Mąka pszenna,Wheat flour
91,Mąka żytnia,Rye flour
92,Melon,Melon
93,Mięso wieprzowe,Pork
94,Mięso wołowe,Beef
95,Mięso z indyka,Turkey meat
96,Mięso z kurczaka,Chicken meat
97,Miód pszczeli,Bee honey
98,Mleko roślinne,Vegetable milk
99,Mleko spożywcze,Drinking milk
100,Morele,Apricots
101,Nektarynka,Nectarine
102,Ogórek,Cucumber
103,Ogórek kiszony,Pickled cucumber
104,Olej rzepakowy,Canola oil
105,Olej słonecznikowy,Sunflower oil
106,Papryka czerwona,Red Pepper
107,Papryka zielona,Green peppers
108,Parówki,Sausages
109,"Pietruszka, korzeń",Parsley root
110,"Pietruszka, liście",Parsley leaves
111,Płatki kukurydziane,Flaked corn
112,Płatki owsiane,Oat flakes
113,Pomarańcza,Orange
114,Pomidor,Tomato
115,Por,Leek
116,Porzeczki,Currants
117,Pstrąg,Trout
118,Ryż biały,White rice
119,Ryż brązowy,Brown rice
120,Rzodkiewka,Radish
121,Sałata,Lettuce
122,Seler korzeniowy,Celery root
123,Seler naciowy,Celery leaves
124,Ser pleśniowy,Blue cheese
125,Ser twarogowy,Cottage cheese
126,Ser żółty,Yellow cheese
127,Serek twarogowy homogenizowany,Homogenized cream cheese
128,Soczewica czerwona,Red Lentils
129,Sos keczup,Ketchup sauce
130,Sól,Salt
131,Szczypiorek,Chives
132,"Szparagi, konserwowe","Asparagus, canned"
133,Szpinak,Spinach
134,Szynka wieprzowa,Pork ham
135,Szynka z indyka,Turkey ham
136,Szynka z kurczaka,Chicken ham
137,Śliwki,Prunes
138,"Śmietana, 12% tłuszczu","Cream, 12% fat"
139,"Śmietana, 18% tłuszczu","Cream, 18% fat"
140,Śmietanka kremowa 30% tłuszczu,Cream 30% fat
141,Tuńczyk,Tuna
142,Winogrona,Grapes
143,Wiśnie,Cherries
144,Ziemniaki,Potatoes
145,Kapusta pekińska,Chinese cabbage
146,Masło,Butter
147,Kiełbaski wieprzowe,Pork sausages
148,Groch łuskany,Shelled peas
149,Płatki orkiszowe,Spelt flakes
150,Chleb zwykły (pszenno-żytni),Bread (wheat-rye)
151,Kiełki,Sprouts
152,Cukier puder,Powdered sugar
153,Truskawki mrożone,Frozen Strawberries
154,Por,Leek
155,Papryka żółta,Yellow Peppers
156,Mandarynka,Mandarin oranges
157,Wafle ryżowe,Rice waffles
158,Chałka,Challah
159,Pieczarki,Mushrooms
160,Kasza gryczana,Buckwheat groats
161,Płatki jęczmienne,Barley Flakes
162,Wafle kukurydziane,Cornmeal wafers
163,Sok jabłkowy,Apple juice
164,Sandacz,Zander
