id,weight_grams,from_producer,ingredient_id,kindergartendish_id
108,70,yes,93,31
109,120,yes,144,31
110,80,yes,75,31
81,75,yes,89,23
111,200,,137,32
112,35,yes,45,33
113,5,yes,146,33
88,5,yes,106,24
74,18,yes,154,21
75,20,yes,93,21
65,250,yes,99,19
8,10,yes,106,4
5,60,yes,96,4
6,120,yes,144,4
7,70,yes,43,4
9,40,uncertain,84,5
10,15,yes,93,5
11,10,yes,126,5
12,3,yes,44,5
13,500,yes,114,5
14,80,yes,93,6
15,50,uncertain,77,6
16,80,yes,63,6
17,20,yes,122,6
18,9,yes,69,6
2,70,yes,125,3
3,50,yes,89,3
4,15,no,113,3
19,60,yes,,7
20,30,yes,,7
21,40,no,,7
114,25,yes,135,33
23,50,yes,,8
24,40,uncertain,,8
25,40,yes,74,8
115,10,yes,102,33
116,10,yes,106,33
117,10,yes,114,33
118,120,yes,142,34
26,35,yes,45,9
27,25,yes,135,9
28,25,yes,114,9
29,15,yes,102,9
30,10,yes,121,9
31,35,yes,45,10
32,30,yes,95,10
33,20,yes,114,10
34,10,yes,102,10
35,125,no,70,10
37,200,yes,,12
38,100,no,,12
39,45,yes,,12
40,56,yes,,12
41,7,yes,,12
42,20,yes,,12
43,15,yes,102,12
119,60,yes,93,35
120,20,yes,39,35
121,22,yes,58,35
48,200,yes,,14
49,15,no,,14
50,50,yes,,14
51,20,yes,,14
52,20,yes,,14
53,15,yes,,14
54,10,yes,121,14
44,50,yes,45,13
45,100,no,36,13
46,50,yes,89,13
47,50,no,142,13
122,15,yes,72,35
123,40,yes,89,35
60,212,yes,38,16
124,15,yes,157,36
125,95,yes,156,36
64,180,yes,63,18
73,200,yes,113,20
126,100,yes,125,37
127,2.5,yes,146,37
66,15,uncertain,149,19
128,50,yes,122,37
76,37,yes,63,22
77,11,yes,139,22
78,2,no,152,22
22,58,yes,153,22
129,10,yes,89,37
130,10,yes,69,37
79,100,yes,84,23
80,46,yes,125,23
67,40,yes,45,19
68,18,yes,114,19
69,14,uncertain,103,19
70,14,yes,121,19
71,6,yes,146,19
72,3,yes,121,19
55,250,yes,99,15
56,10,uncertain,112,15
57,35,yes,42,15
58,5,yes,146,15
59,8,yes,55,15
61,25,yes,148,17
62,20,yes,150,17
63,9,yes,147,17
89,15,yes,63,25
132,50,yes,84,38
93,60,yes,96,27
94,280,yes,144,27
90,5,yes,93,26
91,30,yes,103,26
92,25,yes,89,26
82,35,yes,45,24
83,5,yes,146,24
84,36,yes,64,24
85,10,yes,114,24
86,6,,102,24
87,200,yes,99,24
133,60,yes,55,38
135,22,yes,127,38
95,250,yes,99,28
96,15,uncertain,112,28
97,40,yes,45,28
98,6,yes,146,28
99,11,yes,155,28
100,10,yes,106,28
101,18,yes,117,28
102,100,yes,69,29
103,40,uncertain,41,29
131,250,yes,99,38
104,33,yes,93,30
105,47,yes,77,30
106,47,yes,144,30
107,28,yes,89,30
205,3,yes,97,53
168,42,yes,39,47
169,5,yes,52,47
170,20,yes,150,47
162,13,yes,79,45
163,27,yes,93,46
164,40,yes,94,46
165,40,yes,160,46
134,6,yes,146,38
136,50,yes,158,38
137,100,yes,142,39
138,34,yes,93,40
139,97,yes,144,40
140,30,yes,89,40
141,15,yes,150,40
142,37,yes,159,40
143,60,yes,96,41
144,40,yes,118,41
145,65,yes,58,41
146,25,yes,106,41
166,105,yes,43,46
167,30,yes,44,46
147,35,yes,45,42
148,5,yes,146,42
149,35,yes,126,42
150,250,yes,99,42
151,10,yes,114,42
152,10,yes,102,42
153,5,yes,121,42
154,50,yes,69,43
155,26,yes,86,43
156,15,yes,153,43
157,2,yes,97,43
206,28,yes,96,54
207,8,yes,80,54
208,30,yes,119,54
171,40,yes,150,48
172,6,yes,146,48
173,15,yes,114,48
174,15,yes,102,48
175,10,yes,120,48
176,47,yes,125,48
177,1.2,yes,131,48
178,17,yes,134,48
179,12,yes,161,48
180,200,yes,99,48
181,13.2,yes,162,49
182,200,yes,163,49
183,50,yes,160,50
184,80,yes,93,50
185,70,yes,120,50
186,100,yes,89,50
187,17,yes,95,51
188,50,yes,96,51
189,30,yes,89,51
190,62,yes,84,51
191,100,uncertain,87,51
192,35,yes,45,52
193,5,yes,146,52
194,50,yes,125,52
195,3.6,yes,97,52
196,3.5,yes,106,52
197,10,yes,114,52
198,10,yes,102,52
199,5,yes,121,52
200,200,yes,99,52
201,100,yes,99,53
202,18,yes,38,53
203,76,yes,153,53
204,30,yes,86,53
213,317,yes,113,56
209,150,yes,,55
210,60,yes,,55
211,40,yes,,55
212,20,yes,74,55
214,200,yes,99,57
215,15,yes,111,57
216,40,yes,45,57
217,6,yes,146,57
218,44,yes,95,57
219,15,yes,114,57
220,20,yes,103,57
221,120,yes,62,58
222,87,yes,63,58
223,18,yes,93,59
224,24,yes,147,59
225,100,yes,144,59
226,17,yes,89,59
227,20,yes,64,59
228,70,yes,164,60
229,120,yes,144,60
230,50,yes,74,60
231,10,yes,89,60
232,10,yes,44,60
