"product_description_hs","product_description_sitc","world_green","world_blue","world_grey","world_total","country_green","country_blue","country_grey","country_total"
"Horses, live pure-bred breeding","Horses",37179.1515712879,2461.90724859591,970.931684496167,40611.99050438,20438.2174476155,571.675170422891,223.850798144693,21233.7434161831
"Horses, live except pure-bred breeding","Horses",37179.1515712879,2461.90724859591,970.931684496167,40611.99050438,20438.2174476155,571.675170422891,223.850798144693,21233.7434161831
"Asses, mules and hinnies, live","Asses, mules, hinnies",37179.1515712879,2461.90724859591,970.931684496167,40611.99050438,20438.2174476155,571.675170422891,223.850798144693,21233.7434161831
"Bovine, live pure-bred breeding","Bov.animals,pure,breedng",7002.05553655314,255.886951019004,219.033803213564,7476.97629078571,3513.44963984941,167.757581301746,216.76013111262,3897.96735226378
"Bovine, live except pure-bred breeding","Other bovine animals",7002.05553655314,255.886951019004,219.033803213564,7476.97629078571,3513.44963984941,167.757581301746,216.76013111262,3897.96735226378
"Swine, live pure-bred breeding","Swine,pure,for breeding",3155.15383572689,276.341756396347,399.856666719041,3831.35225884228,2932.12861706744,152.526077944527,496.843268723283,3581.49796373525
"Swine, live except pure-bred breeding weighing less than 50 kg","Other swine, live",3155.15383572689,276.341756396347,399.856666719041,3831.35225884228,2932.12861706744,152.526077944527,496.843268723283,3581.49796373525
"Swine, live except pure-bred breeding weighing 50 kg or more","Other swine, live",3155.15383572689,276.341756396347,399.856666719041,3831.35225884228,2932.12861706744,152.526077944527,496.843268723283,3581.49796373525
"Sheep, live","Sheep, live",4278.29235728761,207.036937974936,33.2939233570971,4518.62321861964,3438.68475666659,250.028220398647,191.520776076621,3880.23375314186
"Fowls, live domestic weighing not more than 185 g","Poultry, live, to 185g",276.540806085479,23.4405627359079,36.3908685497718,336.372237371159,262.261805898985,4.61787119706624,35.884175693671,302.763852789722
"Poultry, live except domestic fowls, weighing not more than 185 g","Poultry, live, to 185g",2765.40806085479,234.405627359079,363.908685497718,3363.72237371159,2622.61805898985,46.1787119706624,358.84175693671,3027.63852789722
"Poultry, live except domestic fowls, weighing more than 185 g","Poultry, live,over 185g",2765.40806085479,234.405627359079,363.908685497718,3363.72237371159,2622.61805898985,46.1787119706624,358.84175693671,3027.63852789722
"Bovine carcasses and half carcasses, fresh or chilled","Bovine meat,fh,ch,w.bone",10233.5979075141,388.597338507088,320.120835737414,10942.3160817586,5595.89766964919,281.553270856908,345.235491298503,6222.6864318046
"Bovine cuts bone in, fresh or chilled","Bovine meat,fh,ch,w.bone",10233.5979075141,388.597338507088,320.120835737414,10942.3160817586,5595.89766964919,281.553270856908,345.235491298503,6222.6864318046
"Bovine cuts boneless, fresh or chilled","Bovine meat,fh,ch,bnless",14413.5181795973,550.137096488856,450.87441653157,15414.5296926177,7881.5460135904,399.370804023814,486.247170842962,8767.16398845718
"Bovine carcasses and half carcasses, frozen","Bovine meat,frozn,w.bone",10233.5979075141,388.597338507088,320.120835737414,10942.3160817586,5595.89766964919,281.553270856908,345.235491298503,6222.6864318046
"Bovine cuts bone in, frozen","Bovine meat,frozn,w.bone",10233.5979075141,388.597338507088,320.120835737414,10942.3160817586,5595.89766964919,281.553270856908,345.235491298503,6222.6864318046
"Bovine cuts boneless, frozen","Bovine meat,frz,boneless",14413.5181795973,550.137096488856,450.87441653157,15414.5296926177,7881.5460135904,399.370804023814,486.247170842962,8767.16398845718
"Swine carcasses and half carcasses, fresh or chilled","Meat of swine,frsh,chlld",3582.23753485475,325.100898632669,453.981528210607,4361.31996169803,3314.95165302097,183.841355850203,561.711858531581,4060.50486740275
"Hams, shoulders and cuts thereof, of swine bone in, fresh or chilled","Meat of swine,frsh,chlld",4652.2565387724,435.195972250219,589.586400273516,5677.03891129613,4305.13201691035,251.742020584679,729.495920170884,5286.36995766591
"Swine cuts, fresh or chilled, nes","Meat of swine,frsh,chlld",4907.17470528047,459.042326894067,621.892504398092,5988.10953657263,4541.02966167256,265.536103904387,769.46829935833,5576.03406493528
"Swine carcasses and half carcasses, frozen","Meat of swine, frozen",3582.23753485475,325.100898632669,453.981528210607,4361.31996169803,3314.95165302097,183.841355850203,561.711858531581,4060.50486740275
"Hams, shoulders and cuts thereof, of swine, bone in, frozen","Meat of swine, frozen",4652.2565387724,435.195972250219,589.586400273516,5677.03891129613,4305.13201691035,251.742020584679,729.495920170884,5286.36995766591
"Swine cuts, frozen nes","Meat of swine, frozen",4907.17470528047,459.042326894067,621.892504398092,5988.10953657263,4541.02966167256,265.536103904387,769.46829935833,5576.03406493528
"Lamb carcasses and half carcasses, fresh or chilled","Meat of swine, frozen",5008.25371563941,254.067735504898,38.9745256836795,5301.29597682799,4025.39243961497,304.394181656221,224.198011333661,4553.98463260485
"Sheep carcasses and half carcasses, fresh or chilled","Meat of sheep,frsh,chlld",7850.56136752379,397.63212416417,61.0935314028503,8309.28702309081,6919.59112591763,521.497718494158,385.393124507673,7826.48196891946
"Sheep cuts, bone in, fresh or chilled","Meat of sheep,frsh,chlld",7850.56136752379,407.63212416417,61.0935314028503,8319.28702309081,6919.59112591763,531.497718494158,385.393124507673,7836.48196891946
"Sheep cuts, boneless, fresh or chilled","Meat of sheep,frsh,chlld",9813.20170940474,522.040155205213,76.3669142535629,10411.6087788635,8649.48890739703,676.872148117698,481.741405634592,9808.10246114932
"Lamb carcasses and half carcasses, frozen","Meat of sheep,frsh,chlld",5008.25371563941,254.067735504898,38.9745256836795,5301.29597682799,4025.39243961497,304.394181656221,224.198011333661,4553.98463260485
"Sheep carcasses and half carcasses, frozen","Meat of sheep, frozen",7850.56136752379,397.63212416417,61.0935314028503,8309.28702309081,6919.59112591763,521.497718494158,385.393124507673,7826.48196891946
"Sheep cuts, bone in, frozen","Meat of sheep, frozen",7850.56136752379,407.63212416417,61.0935314028503,8319.28702309081,6919.59112591763,531.497718494158,385.393124507673,7836.48196891946
"Sheep cuts, boneless, frozen","Meat of sheep, frozen",9813.20170940474,522.040155205213,76.3669142535629,10411.6087788635,8649.48890739703,676.872148117698,481.741405634592,9808.10246114932
"Horse, ass, mule or hinny meat, fresh, chilled or frozen","Meat of horses,mules,etc",47366.8164015763,3174.72852783312,1236.98204220237,51778.5269716118,26038.6063829472,766.543509637731,285.189392682494,27090.3392852674
"Bovine edible offal, fresh or chilled","Edible offal,bov.frsh,ch",10432.5310086558,396.151365384367,326.343733213829,11155.026107254,5234.77314964613,264.845297109282,322.956134447611,5822.57458120302
"Bovine tongues, edible offal, frozen","Edible offal,bov.frsh,ch",24751.1285847523,939.86716890833,774.248904403148,26465.2446580638,12419.4735900042,628.344166758763,766.211842966508,13814.0295997295
"Bovine livers, edible offal, frozen","Edible offal,bov.frsh,ch",7290.66059829932,276.846064313058,228.061761356848,7795.56842396923,3658.26416537801,185.084249515048,225.694374878224,4069.04278977128
"Bovine edible offal, frozen nes","Edible offal,bov.,frozen",11823.5351431432,448.971547435616,369.856230975673,12642.3629215545,5932.74290293229,300.15800339052,366.016952373959,6598.91785869677
"Swine edible offal, fresh or chilled","Edible offal,swine,fh,ch",1030.25758651042,93.4996460462884,130.565856960553,1254.32308951726,957.432793974077,53.0699083233627,162.235052095603,1172.73775439304
"Swine livers, edible offal, frozen","Edible offal,swine,fh,ch",562.339069002462,51.0343283060095,71.2659468933345,684.639344201806,522.589566963956,28.9668168711943,88.5517460385962,640.108129873747
