"","hs_pc_tas_code","sitc_rev_3_sita_code","product_discription_hs","product_description_sitc","rootproduct_hs","rootproduct_sitc","product_fraction","value_fraction","wf_type","world_grazing","world_mixed","world_industrial","world_wgt_avg","country_grazing","country_mixed","country_industrial","country_wgt_avg"
"1","010111","00151","Horses, live pure-bred breeding","Horses","010111","00151",1,1,"Green",40316.9343378169,34717.2945251717,33336.7222165936,37179.1515712879,0,20438.2174476155,0,20438.2174476155
"2","010111","00151","Horses, live pure-bred breeding","Horses","010111","00151",1,1,"Blue",1469.94896120251,3534.12893198313,2182.58891293015,2461.90724859591,0,571.675170422891,0,571.675170422891
"3","010111","00151","Horses, live pure-bred breeding","Horses","010111","00151",1,1,"Grey",675.138510606094,1179.42703791874,1468.60020861898,970.931684496167,0,223.850798144693,0,223.850798144693
"4","010119","00151a","Horses, live except pure-bred breeding","Horses","010111","00151",1,1,"Green",40316.9343378169,34717.2945251717,33336.7222165936,37179.1515712879,0,20438.2174476155,0,20438.2174476155
"5","010119","00151a","Horses, live except pure-bred breeding","Horses","010111","00151",1,1,"Blue",1469.94896120251,3534.12893198313,2182.58891293015,2461.90724859591,0,571.675170422891,0,571.675170422891
"6","010119","00151a","Horses, live except pure-bred breeding","Horses","010111","00151",1,1,"Grey",675.138510606094,1179.42703791874,1468.60020861898,970.931684496167,0,223.850798144693,0,223.850798144693
"7","010120","00152","Asses, mules and hinnies, live","Asses, mules, hinnies","010111","00151",1,1,"Green",40316.9343378169,34717.2945251717,33336.7222165936,37179.1515712879,0,20438.2174476155,0,20438.2174476155
"8","010120","00152","Asses, mules and hinnies, live","Asses, mules, hinnies","010111","00151",1,1,"Blue",1469.94896120251,3534.12893198313,2182.58891293015,2461.90724859591,0,571.675170422891,0,571.675170422891
"9","010120","00152","Asses, mules and hinnies, live","Asses, mules, hinnies","010111","00151",1,1,"Grey",675.138510606094,1179.42703791874,1468.60020861898,970.931684496167,0,223.850798144693,0,223.850798144693
"10","010210","00111","Bovine, live pure-bred breeding","Bov.animals,pure,breedng","010210","00111",1,1,"Green",9197.0495273691,7347.62132953925,4173.9108415051,7002.05553655314,3793.03648928548,2724.06180506741,3962.11665888997,3513.44963984941
"11","010210","00111","Bovine, live pure-bred breeding","Bov.animals,pure,breedng","010210","00111",1,1,"Blue",192.319803574542,240.537831970599,311.264148499573,255.886951019004,184.724154710094,165.669703889828,121.880961009451,167.757581301746
"12","010210","00111","Bovine, live pure-bred breeding","Bov.animals,pure,breedng","010210","00111",1,1,"Grey",105.717620481072,199.232716840604,335.813472769471,219.033803213564,96.3175632231651,110.889793618401,553.965105808807,216.76013111262
"13","010290","00119","Bovine, live except pure-bred breeding","Other bovine animals","010210","00111",1,1,"Green",9197.0495273691,7347.62132953925,4173.9108415051,7002.05553655314,3793.03648928548,2724.06180506741,3962.11665888997,3513.44963984941
"14","010290","00119","Bovine, live except pure-bred breeding","Other bovine animals","010210","00111",1,1,"Blue",192.319803574542,240.537831970599,311.264148499573,255.886951019004,184.724154710094,165.669703889828,121.880961009451,167.757581301746
"15","010290","00119","Bovine, live except pure-bred breeding","Other bovine animals","010210","00111",1,1,"Grey",105.717620481072,199.232716840604,335.813472769471,219.033803213564,96.3175632231651,110.889793618401,553.965105808807,216.76013111262
"16","010310","00131","Swine, live pure-bred breeding","Swine,pure,for breeding","010310","00131",1,1,"Green",5037.10420709543,3353.39163476424,2588.68322956513,3155.15383572689,3886.97142757545,2724.83879118656,1781.68046951545,2932.12861706744
"17","010310","00131","Swine, live pure-bred breeding","Swine,pure,for breeding","010310","00131",1,1,"Blue",264.469995743417,261.280268444608,292.895112648723,276.341756396347,167.82283929097,148.689265182029,135.289234614513,152.526077944527
"18","010310","00131","Swine, live pure-bred breeding","Swine,pure,for breeding","010310","00131",1,1,"Grey",415.720289905418,374.321598295405,439.401496798994,399.856666719041,628.607221906343,475.386332772803,310.839139297135,496.843268723283
