"id","name","name_en","name_wf","description","world_green","world_blue","world_grey","world_total","country_green","country_blue","country_grey","country_total","type"
36,"Arbuz","Watermelon","Watermelons","Watermelons",149.992763632217,24.9047327275731,63.4202401357064,238.317736495496,NA,NA,NA,NA,"crops"
37,"Awokado","Avocado","Avocados, fresh or dried","Avocados",849.163968332961,237.367228539177,86.9627726678773,1173.49396954002,NA,NA,NA,NA,"crops"
38,"Banan","Banana","Bananas","Bananas",659.726895284611,96.6339035387356,33.4217348595603,789.782533682907,NA,NA,NA,NA,"crops"
39,"Brokuly","Broccoli","Cauliflowers and headed broccoli, fresh or chilled","Cauliflowers and broccoli",189.286722452254,21.1488561439903,74.6714153070404,285.106993903285,151.895148347556,0.450905944029904,NA,152.346054291586,"crops"
40,"Brukselka","Brussels sprouts","Brussels sprouts, fresh or chilled","Cauliflowers and broccoli",189.286722452254,21.1488561439903,74.6714153070404,285.106993903285,151.895148347556,0.450905944029904,NA,152.346054291586,"crops"
41,"Brzoskwinia","Peach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Bulka grahamka","Graham roll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"Burak","Beet","Raw sugar, beet","Sugar beet",535.453143090815,166.983825852814,162.339087361898,864.776056305527,560.607699216857,3.46491498769563,469.622400388203,1033.69501459276,"crops"
44,"Cebula","Onion","Onions and shallots, fresh or chilled","Onions (inc. shallots), green",176.389330786108,44.4998257033403,51.0473825505614,271.93653904001,NA,NA,NA,NA,"crops"
45,"Chleb wieloziarnisty","Multigrain bread","Wheat bread","Wheat",1123.8222851223,301.327361468438,182.511146298736,1607.66079288947,904.779776347046,0.453299312505082,427.44365077562,1332.67672643517,"crops"
46,"Chrzan","Horseradish","Salad beetroot,salsif,celeriac,radish&sim edibl roots,fresh/chilld nes","Yams",348.097698652125,15.282787011652,21.8907258787832,385.27121154256,NA,NA,NA,NA,"crops"
47,"Cukier","Sugar","Sugar cane, fresh or dried, whether or not ground","Sugar cane",139.268369194116,57.2365929666236,13.083358609924,209.588320770664,NA,NA,NA,NA,"crops"
48,"Cukinia","Zucchini","Pumpkins, squash and gourds","Pumpkins, squash and gourds",228.206283438277,23.6645871724282,84.4110831912467,336.281953801952,150.430463701798,NA,NA,150.430463701798,"crops"
49,"Cytryna","Lemon","Lemons and limes, fresh or dried","Lemons and limes",432.067053652282,151.520235584096,58.3783205012266,641.965609737605,NA,NA,NA,NA,"crops"
50,"Czarne jagody","Blueberries","Blueberries","Blueberries",341.453076036709,333.77060547586,170.139987774109,845.363669286678,219.055109695256,6.13063716893122,NA,225.185746864187,"crops"
51,"Czeresnie","Cherries","Sour cherries","Sour cherries",1098.33486330574,213.46741859111,98.7781058315819,1410.58038772843,1137.98790170921,4.84996530576961,NA,1142.83786701498,"crops"
52,"Czosnek","Garlic","Garlic, fresh or chilled","Garlic",337.263004594771,81.4295249416015,170.310290112109,589.002819648481,NA,NA,NA,NA,"crops"
53,"Dorsz","Cod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"Dynia","Pumpkin","Pumpkins, squash and gourds","Pumpkins, squash and gourds",228.206283438277,23.6645871724282,84.4110831912467,336.281953801952,150.430463701798,NA,NA,150.430463701798,"crops"
55,"Dzem z owoców","Fruit jam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Fasola biala","White bean","Beans, shelled or unshelled, fresh or chilled","Beans, green",319.53897824335,53.5206701333279,188.03958334404,561.099231720718,99.1128506874609,0.223347539661111,NA,99.336198227122,"crops"
57,"Fasola czerwona","Red Beans","Beans, shelled or unshelled, fresh or chilled","Beans, green",319.53897824335,53.5206701333279,188.03958334404,561.099231720718,99.1128506874609,0.223347539661111,NA,99.336198227122,"crops"
